日期,空壓機,冷氣_15T_,冷氣_20T_,電梯,對面廠房鍋爐,對面廠房軋紙機,對面廠房浪紙機,五色印刷機,空壓機_2_,水箱印刷冷卻機,成形機2台,覆膜機兩台,自動軋紙機2,自動軋紙機3,隔壁間冷氣,裁紙機,UV_IR機,六色印刷機,冷氣機2台__第一台_,冷氣機2台__第二台_,T_10T冷氣機,四色機
0.0,208.759,274.189,330.252,9.016,0.0,34.559,77.049,379.544,196.195,157.284,0.008,25.501,599.493,52.245,92.656,3.799,528.896,904.172,117.008,185.407,206.5,421.871
0.0,213.653,271.149,332.139,10.643,0.0,18.084,61.445,368.315,174.88,146.063,0.011,35.34,622.555,79.2,95.195,8.544,508.936,832.349,115.831,179.916,183.376,365.74
0.0,228.415,195.147,335.221,9.519,0.0,34.231,84.521,297.435,148.931,116.428,0.048,31.211,640.339,79.12,102.697,4.14,352.24,605.639,130.687,200.389,146.852,486.361
0.0,244.799,221.115,323.867,10.169,0.0,59.38,124.364,560.664,161.199,109.749,0.027,34.256,655.0,66.287,109.876,13.472,398.652,627.073,124.885,267.24,145.347,426.639
0.0,242.092,221.284,344.175,8.072,0.0,26.597,123.245,704.688,167.511,127.34,0.037,30.779,594.944,43.812,77.173,7.3,492.452,608.292,150.709,246.308,157.803,446.907
0.0,134.403,125.763,248.081,2.105,0.0,2.924,10.505,53.773,107.788,91.601,0.037,11.052,267.24,47.367,29.976,1.153,285.803,610.461,0.0,0.0,113.512,192.905
0.0,0.0,1.732,0.501,0.956,0.0,2.892,0.0,53.417,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,80.367,72.535,0.0,0.0,0.0,193.447
0.0,229.525,266.924,337.705,6.885,0.0,15.651,125.811,506.229,170.715,128.533,0.06,26.82,608.525,51.211,76.143,4.377,472.84,850.483,133.559,215.805,183.425,465.757
0.0,205.483,269.024,247.185,6.853,0.0,30.853,125.359,578.316,167.629,127.624,4.073,21.04,531.524,26.156,78.917,5.0,382.476,666.892,133.347,207.977,165.459,400.881
0.0,187.179,255.541,250.455,9.948,0.0,18.8,124.161,393.012,151.203,112.775,0.028,21.095,531.041,39.797,89.261,13.005,272.497,532.852,115.731,181.956,155.048,430.667
0.0,199.261,243.483,333.605,8.345,0.0,43.789,135.867,461.548,159.991,124.257,0.007,28.096,577.404,56.857,79.297,8.515,396.896,731.344,113.415,183.388,166.345,318.917
0.0,212.503,179.387,338.612,6.271,0.0,52.097,130.725,333.865,104.185,117.639,0.085,27.155,614.079,81.087,79.303,1.935,130.621,104.609,119.812,189.981,2.121,382.163
0.0,40.399,1.257,76.087,0.996,0.0,0.0,0.0,50.913,0.0,0.0,0.0,0.441,47.095,0.0,0.0,0.0,80.143,72.651,0.0,0.0,0.0,188.131
0.0,0.0,1.088,1.169,0.952,0.0,0.0,0.0,51.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.832,74.161,0.0,0.0,0.0,195.445
0.0,198.295,224.28,324.775,8.537,0.0,43.565,106.948,419.973,112.497,58.189,0.08,119.993,577.209,59.613,69.063,12.595,174.821,144.615,107.433,184.232,90.716,575.061
0.0,204.204,281.22,347.811,10.891,0.0,45.367,94.444,469.325,158.553,105.621,0.0,174.101,541.58,69.277,62.479,5.165,430.693,566.116,107.801,181.397,161.849,522.631
0.0,226.16,266.387,348.42,13.259,0.0,55.228,126.247,443.201,147.36,105.324,0.0,163.436,640.741,81.815,79.671,4.148,340.56,648.176,120.644,184.316,148.887,549.199
0.0,215.855,268.264,249.549,7.78,0.0,60.605,127.589,615.331,152.324,102.3,0.084,173.061,576.98,30.089,81.396,6.728,400.013,577.485,131.611,209.777,134.929,485.712
0.0,205.871,255.988,251.701,7.655,0.0,32.984,90.844,466.224,151.351,114.687,0.025,165.111,575.123,51.955,82.168,8.235,382.312,672.131,129.06,207.144,148.136,434.759
0.0,64.172,1.029,0.001,0.98,0.0,2.693,42.871,59.052,0.0,0.0,0.0,0.0,70.777,0.0,0.0,0.0,87.204,83.853,0.0,0.0,0.0,211.472
0.0,0.0,1.209,0.0,1.021,0.0,0.0,0.0,60.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.055,84.615,0.0,0.0,0.0,215.169
0.0,204.44,270.573,250.704,6.46,0.0,35.221,115.308,375.585,143.993,114.596,4.685,163.0,601.825,55.407,87.805,9.461,339.616,753.205,114.94,194.899,156.465,444.777
0.0,213.313,260.369,247.897,7.496,0.0,35.403,82.544,478.652,154.233,125.52,21.349,166.725,593.721,43.532,94.619,3.316,411.793,757.239,124.124,194.827,169.355,343.789
0.0,218.044,288.329,349.956,9.185,0.0,67.224,118.943,388.629,178.207,102.139,29.329,187.943,647.22,74.756,96.177,8.068,373.023,775.145,115.792,193.524,199.829,367.947
0.0,201.607,274.851,348.899,6.959,0.0,39.721,116.807,384.121,171.103,119.289,11.167,184.355,604.751,65.308,88.021,10.495,353.313,801.408,134.967,198.131,183.819,320.241
0.0,206.139,242.04,249.809,7.728,0.0,53.464,121.513,315.651,132.499,111.032,14.476,150.76,596.183,31.239,89.341,14.483,337.493,640.843,132.617,207.309,144.751,284.705
0.0,0.0,1.419,0.0,1.241,0.0,0.0,0.0,52.105,0.0,0.0,0.0,0.0,1.912,1.488,0.0,0.0,82.472,74.433,0.0,0.0,0.0,192.563
0.0,0.0,1.493,0.0,1.267,0.0,0.0,0.0,53.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.463,74.861,0.001,0.0,0.0,197.927
0.0,214.167,252.091,246.772,12.087,0.0,55.176,84.22,552.855,151.651,122.524,8.325,172.239,613.532,50.321,85.503,6.445,422.301,590.765,132.72,207.685,148.288,391.353
0.0,207.425,321.711,264.111,6.475,0.0,32.772,85.375,528.185,164.261,105.863,10.217,180.207,604.797,68.048,85.017,2.304,357.389,474.147,122.595,197.109,128.555,356.137
0.0,205.084,268.336,249.62,8.62,0.0,32.085,84.951,564.715,174.123,124.619,39.983,192.281,589.135,32.863,87.024,13.777,365.62,428.784,140.867,218.16,152.467,447.571
0.0,204.035,269.98,236.087,5.788,0.0,16.444,77.439,674.103,194.292,155.027,82.392,210.181,614.019,35.444,92.483,9.436,484.203,866.123,171.103,263.484,205.767,379.685
0.0,215.848,219.645,236.023,5.065,0.0,41.591,83.689,535.9,184.216,141.817,70.323,205.476,616.983,28.896,92.732,6.841,475.545,675.776,156.077,236.952,166.421,437.023
0.0,129.46,145.245,0.0,0.001,0.0,0.0,0.0,61.029,72.553,0.0,51.643,70.245,212.212,0.0,39.213,0.0,87.851,97.763,0.0,0.0,0.0,215.433
0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,50.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.907,72.955,0.0,0.0,0.0,191.031
0.0,204.975,196.976,236.071,8.881,0.0,33.947,109.773,529.203,147.424,115.876,21.321,166.405,546.639,30.901,62.175,7.867,562.079,727.167,143.847,218.725,143.712,487.767
0.0,25.565,4.783,0.0,1.076,0.0,0.0,0.0,67.891,4.328,0.0,0.0,5.087,28.613,0.0,0.0,0.0,91.273,87.324,0.0,0.0,0.0,226.949
0.0,209.543,272.461,241.341,11.595,0.001,36.656,83.507,605.107,161.108,122.033,26.367,179.793,679.407,75.841,89.751,3.328,444.459,727.779,151.364,236.836,150.912,411.187
0.0,217.316,227.905,240.857,7.528,0.0,32.071,83.072,369.476,131.928,109.565,37.904,160.189,631.183,48.332,91.529,2.424,393.108,615.188,122.615,192.2,135.728,431.364
0.0,198.941,278.867,336.528,8.505,0.0,36.068,83.136,329.563,154.361,131.912,62.509,171.396,619.129,64.859,90.855,2.58,364.169,567.732,122.596,197.076,162.68,354.807
0.0,142.456,130.356,0.0,2.513,0.0,0.0,0.0,61.635,70.576,0.0,35.92,82.8,219.949,4.529,29.001,0.0,87.777,117.409,0.001,0.0,0.0,214.007
0.0,0.0,1.3,0.0,1.269,0.0,0.0,0.0,47.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.305,70.764,0.0,0.0,0.0,181.8
0.0,210.732,250.219,239.575,12.04,0.0,37.705,82.624,400.921,142.448,115.733,69.789,161.313,566.856,50.841,82.863,2.912,343.655,599.309,111.613,214.299,134.879,225.591
0.0,202.739,286.653,240.079,9.944,0.0,23.811,83.107,501.092,166.523,139.939,36.779,183.868,577.564,35.931,74.704,5.335,378.977,680.329,131.068,194.321,165.731,385.676
0.0,214.469,226.077,236.321,9.677,0.0,0.0,84.177,466.311,127.848,108.115,51.665,146.612,584.668,60.267,74.661,4.073,333.652,597.241,117.283,190.375,137.348,434.425
0.0,209.647,211.257,332.205,8.72,0.0,31.903,89.14,416.904,129.781,106.268,75.38,150.815,638.508,73.672,69.793,10.535,337.345,691.235,116.051,189.509,131.677,407.968
0.0,224.269,249.987,300.567,6.531,0.0,59.621,81.915,438.723,166.587,130.82,77.328,182.447,652.885,64.468,75.695,7.504,601.116,777.153,164.396,231.315,162.255,455.364
0.0,127.711,1.303,151.752,1.265,0.0,0.0,0.0,55.092,0.0,0.0,47.497,8.915,221.036,33.479,29.772,0.0,84.475,76.024,0.0,0.0,0.0,203.273
0.0,0.0,0.984,0.0,0.852,0.0,0.0,0.0,56.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.689,76.604,0.0,0.0,0.0,208.055
